10KForAShow,feel,you,1	
2VuDvXK5Kq,feel,free,1	
Actually,feel,christmasy,1	
Ah,feel,lonely,1	
Akshay_193,feel,better,1	
AllisonAmmerman,feel,better,1	
Already,feel,distant,1	
Always,feel,I,1	
Always,feel,poorly,1	
Am,feel,obongoe,1	
AnnaTinuviel,feel,free,1	
AnsonOfficial,feel,better,1	
AshleyMatthau,feel,BETTER,1	
Bagon_,feel,harder,1	
BasedMadonna,feel,free,1	
BitchOuttaOrder,feel,better,1	
Body,feel,nutty,1	
BrandiTheBrat,feel,better,1	
C_L1Fe,feel,better,1	
Cant,feel,you,1	
CathAlyse,feel,you,1	
Chest,feel,crazy,1	
ChesterToni,feel,me,1	
Christmas,feel,off,1	
CinCin1992,feel,ya,1	
ConCrafter,feel,u,1	
Could,feel,shraddha,1	
DaisyValdovinos,feel,better,1	
Demarcate,feel,with,1	
Different,feel,https,1	
Dnt,feel,well,1	
Doe,feel,good,1	
Dr_Richiez,feel,me,1	
DumbDomme,feel,better,1	
Dun,feel,good,1	
Ericka_Hogue,feel,better,1	
Eyes,feel,sleepy,1	
FanMomMer,feel,free,1	
Feel,feel,feel,1	
Finallllyyyy,feel,christmassy,1	
Finally,feel,Christmassy,1	
Finally,feel,christmassy,1	
Fucken_heider,feel,it,1	
GCFlyingFox,feel,comfortable,1	
GLAAD,feel,better,1	
Gak,feel,maneh,1	
Genuinely,feel,sh,1	
GloriousAllianc,feel,better,1	
Gtamen,feel,lucky,1	
Halucynogens,feel,you,1	
HighSkoolProbs,feel,great,1	
I,feel,30,2	
I,feel,ALIVEEEE,1	
I,feel,ASLEEP,1	
I,feel,American,1	
I,feel,Brandy,1	
I,feel,Christmassy,1	
I,feel,FaceTiming,1	
I,feel,Free,1	
I,feel,GREATTTTTTTTTT,1	
I,feel,ILL,1	
I,feel,IN,1	
I,feel,Immortal,1	
I,feel,Parisian,3	
I,feel,SHIT,1	
I,feel,THIS,1	
I,feel,U,1	
I,feel,UnWanted,1	
I,feel,VIOLATED,1	
I,feel,WIERD,1	
I,feel,WWE,1	
I,feel,abused,1	
I,feel,angry,1	
I,feel,annoyed,1	
I,feel,attacked,1	
I,feel,aweful,1	
I,feel,bald,2	
I,feel,blahhh,1	
I,feel,boring,2	
I,feel,clingy,1	
I,feel,confined,1	
I,feel,creative,1	
I,feel,dat,1	
I,feel,devastated,1	
I,feel,differently,1	
I,feel,discontented,1	
I,feel,drainedddd,1	
I,feel,droopy,1	
I,feel,drugged,1	
I,feel,emotion,1	
I,feel,energy,1	
I,feel,ew,1	
I,feel,excited,1	
I,feel,faded,1	
I,feel,faint,1	
I,feel,fancy,1	
I,feel,fingers,1	
I,feel,fit,1	
I,feel,goooddd,1	
I,feel,heartbroken,1	
I,feel,helpless,2	
I,feel,horrendous,1	
I,feel,horrific,1	
I,feel,https,3	
I,feel,huge,1	
I,feel,humiliated,1	
I,feel,hurted,1	
I,feel,idk,1	
I,feel,illegal,1	
I,feel,immortal,1	
I,feel,insane,2	
I,feel,jelous,1	
I,feel,jubilant,1	
I,feel,li,1	
I,feel,loveddddd,1	
I,feel,marvelous,1	
I,feel,mature,1	
I,feel,merry,1	
I,feel,miserable,1	
I,feel,motivated,1	
I,feel,nacked,1	
I,feel,played,2	
I,feel,pressured,1	
I,feel,psychotic,1	
I,feel,ratch,1	
I,feel,reborn,1	
I,feel,relived,1	
I,feel,riiiiisk,1	
I,feel,ruined,1	
I,feel,satisfied,1	
I,feel,scared,1	
I,feel,secured,1	
I,feel,sherlock,1	
I,feel,shocking,1	
I,feel,sicc,1	
I,feel,sickk,1	
I,feel,sluggish,1	
I,feel,sophisticated,1	
I,feel,sore,1	
I,feel,strong,23	
I,feel,suffocated,1	
I,feel,terrific,1	
I,feel,today,1	
I,feel,touched,1	
I,feel,tricked,1	
I,feel,ufam,1	
I,feel,unloved,2	
I,feel,useless,4	
I,feel,vindicated,1	
I,feel,wider,1	
I,feel,winded,1	
I,feel,worthless,2	
I,feel,yah,2	
I,feel,youu,1	
I,feel,youuu,4	
Im,feel,sick,1	
Im,feel,ugly,1	
Imma,feel,bad,1	
InkedUp_Cuttie,feel,better,1	
InsertCoinTees,feel,free,1	
It,feel,late,2	
JakeMealue,feel,ya,1	
Jellyyyyy__,feel,better,1	
Jjohnscamera,feel,zero,1	
JohnDykesUK,feel,better,1	
Julia_Smithson,feel,better,1	
Just,feel,90,1	
Just,feel,Music,1	
Just,feel,silly,1	
Kinda,feel,sadface,1	
Kristen__Fitz,feel,better,1	
Kyle_C_Campbell,feel,better,1	
LamaRefaat,feel,special,2	
Laurenlubsyouuu,feel,better,1	
Leo,feel,inside,13	
Leo,feel,pathetic,1	
LilaByNature,feel,better,1	
Lilfeeq,feel,better,1	
LilybethMariex3,feel,ME,1	
Literly,feel,nothing,1	
LucyMashiro,feel,ya,1	
M,feel,22,1	
Markets,feel,heavy,1	
Maronites,feel,they,1	
MeganPingle,feel,better,1	
Men,feel,it,1	
Mi,feel,high,1	
MiguelBeSlapinn,feel,better,1	
Mr_Shidla,feel,better,1	
NUwlUlQe02I,feel,IT,1	
Natsukyarina,feel,u,1	
Never,feel,appreciated,1	
NickPang1,feel,v,1	
Not,feel,langsung,1	
OhHeyMarcel,feel,u,1	
Ohjeyson_,feel,better,1	
OmgItsNataliiee,feel,it,1	
Palestinians,feel,24,1	
Pandora,feel,me,1	
PhillyPhilStl,feel,better,1	
PopPunkBro,feel,loved,1	
PotatoSquare,feel,better,1	
Pussy,feel,good,1	
R0SSYB00P,feel,you,1	
RealAsFxck,feel,better,1	
Really,feel,bloated,1	
Really,feel,horrible,1	
RickyPDillon,feel,better,1	
RileyJCampbell,feel,better,1	
RuzannaNatalia,feel,better,1	
Sad_Radkid,feel,better,1	
Same,feel,https,1	
Shahaanak_13,feel,u,1	
She,feel,me,1	
So,feel,sad,1	
SometimesI,feel,l,1	
SometimesI,feel,rejected,1	
Statto_74,feel,free,1	
Still,feel,Me,1	
Still,feel,defeated,1	
Still,feel,sore,1	
Stomach,feel,funny,1	
Stomic,feel,funny,1	
Strangers,feel,free,2	
SullyErna,feel,better,1	
SuperSoberSoper,feel,BETTER,1	
Surprisingly,feel,fresh,1	
T,feel,Christmas,1	
T,feel,RIGHT,2	
T,feel,THINK,1	
TEdmiiston,feel,pretty,1	
That,feel,https,1	
TheJadeSparrow,feel,better,1	
TheScottyLine_,feel,better,1	
The_DeCarlo,feel,better,1	
They,feel,Like,1	
They,feel,weird,1	
Things,feel,pointless,1	
To,feel,great,1	
To,feel,thin,1	
To,feel,you,1	
TonyBarbose,feel,free,1	
TunUpRagaaa_,feel,better,1	
U,feel,L,2	
U,feel,Like,2	
VSVP_Andre,feel,better,1	
Wanna,feel,em,1	
Wanna,feel,old,1	
We,feel,nothing,3	
We,feel,sorrow,1	
We,feel,we,1	
We,feel,ya,1	
WhitakerTori,feel,better,1	
WhitesidesEdits,feel,better,1	
