Id;Community
Source;Target;Type
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;1
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;3
23;3
24;0
25;3
26;3
27;0
28;0
29;0
30;0
31;0
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;1
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;3
97;3
98;0
99;0
100;0
101;0
102;0
103;0
104;0
105;0
106;0
107;0
108;0
109;0
110;0
111;0
112;0
113;0
114;0
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;3
143;3
144;0
145;0
146;0
147;3
148;0
149;0
150;0
151;0
152;0
153;0
154;0
155;0
156;0
157;0
158;0
159;0
160;0
161;0
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;3
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;5
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;3
205;0
206;0
207;3
208;5
209;5
210;5
211;5
212;5
213;5
214;5
215;5
216;5
217;5
218;5
219;5
220;5
221;5
222;5
223;5
224;5
225;5
226;5
227;5
228;5
229;5
230;5
231;5
232;5
233;5
234;5
235;5
236;5
237;5
238;5
239;5
240;5
241;5
242;5
243;5
244;5
245;5
246;5
247;5
248;5
249;5
250;5
251;5
252;5
253;5
254;5
255;5
256;5
257;5
258;5
259;5
260;5
261;5
262;5
263;5
264;5
265;5
266;5
267;5
268;5
269;5
270;5
271;5
272;5
273;5
274;5
275;5
276;5
277;5
278;5
279;5
280;5
281;5
282;5
283;5
284;5
285;5
286;5
287;5
288;5
289;5
290;5
291;5
292;5
293;5
294;5
295;5
296;5
297;5
298;5
299;5
300;5
301;5
302;5
303;5
304;5
305;5
306;5
307;5
308;5
309;5
310;5
311;5
312;5
313;5
314;5
315;5
316;5
317;5
318;5
319;5
320;5
321;5
322;5
323;5
324;5
325;5
326;5
327;5
328;0
329;5
330;5
331;5
332;5
333;5
334;5
335;5
336;5
337;5
338;5
339;5
340;5
341;5
342;5
343;5
344;5
345;5
346;5
347;5
348;5
349;5
350;5
351;5
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;4
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;4
410;0
411;0
412;0
413;0
414;4
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;3
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;4
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;1
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;4
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;3
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
512;4
513;0
514;0
515;0
516;0
517;0
518;0
519;0
520;0
521;0
522;0
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;3
531;0
532;3
533;0
534;0
535;0
536;0
537;0
538;0
539;0
540;0
541;0
542;0
543;0
544;0
545;0
546;0
547;0
548;0
549;0
550;0
551;0
552;0
553;0
554;0
555;0
556;0
557;0
558;0
559;0
560;0
561;0
562;0
563;0
564;0
565;0
566;0
567;0
568;0
569;1
570;0
571;0
572;0
573;0
